Issue Type,Summary,Description,Epic Link,Parent,Fix Version,Priority,Story Points,Labels,Acceptance Criteria,Components
Story,[US-011] Listado de etiquetas con conteo de notas,"Como usuario final, quiero ver un listado de todas mis etiquetas con conteo de notas, para entender cómo está distribuido mi conocimiento.",EPIC-003,,V2+,Low,3,invest;v2plus,"Feature: Catálogo de etiquetas\n\n  Scenario: Ver todas las etiquetas con número de notas\n    Given que la etiqueta ""ideas"" tiene 5 notas y ""archivo"" tiene 0\n    When abro el panel de etiquetas\n    Then veo ""ideas (5)"" y ""archivo (0)"" en el listado\n\n  Scenario: Navegar al filtro desde el catálogo\n    Given que estoy en el panel de etiquetas\n    When pulso sobre ""ideas (5)""\n    Then el listado de notas se filtra por la etiqueta ""ideas""",Frontend
Story,[US-012] Buscar notas por término de texto,"Como usuario final, quiero buscar notas por un término de texto, para encontrar información sin recordar dónde la guardé.",EPIC-004,,MVP,High,5,invest;mvp,"Feature: Búsqueda de notas\n\n  Scenario: Buscar en título y contenido\n    Given que tengo una nota con título ""Recetas"" y otra con ""lista de la compra"" en el contenido\n    When busco ""compra""\n    Then veo la nota que contiene ""compra"" en título o contenido\n\n  Scenario: Búsqueda responde en menos de 300 ms con hasta 500 notas\n    Given que existen 500 notas en la biblioteca\n    When introduzco un término de búsqueda\n    Then los resultados aparecen en menos de 300 milisegundos",Frontend
Story,[US-013] Ordenar resultados de búsqueda,"Como usuario final, quiero ordenar los resultados de búsqueda por relevancia o fecha, para priorizar lo más útil.",EPIC-004,,MVP,High,2,invest;mvp,"Feature: Ordenación de resultados de búsqueda\n\n  Scenario: Ordenar por relevancia\n    Given que busco ""proyecto"" y hay coincidencias en título y solo en contenido\n    When selecciono ordenar por relevancia\n    Then las notas con coincidencia en el título aparecen antes que las de solo contenido\n\n  Scenario: Ordenar por fecha\n    Given que busco ""nota"" con múltiples resultados\n    When selecciono ordenar por fecha\n    Then los resultados se muestran de más reciente a más antigua",Frontend
Story,[US-014] Mensaje cuando búsqueda sin resultados,"Como usuario final, quiero un mensaje claro cuando la búsqueda no devuelve resultados, para saber que debo probar otros términos.",EPIC-004,,V1,Medium,1,invest;v1,"Feature: Búsqueda sin resultados\n\n  Scenario: Mensaje claro sin coincidencias\n    Given que no existe ninguna nota con el término ""xyzabc""\n    When busco ""xyzabc""\n    Then veo el texto ""Sin resultados para xyzabc""\n    And no veo mensajes de error técnico\n\n  Scenario: Campo de búsqueda permanece editable\n    Given que una búsqueda no devolvió resultados\n    When veo el mensaje de sin resultados\n    Then el campo de búsqueda sigue visible y puedo modificar el término",Frontend
Story,[US-015] Editar nota existente,"Como usuario final, quiero editar una nota existente, para mantener mi información actualizada.",EPIC-005,,MVP,High,3,invest;mvp,"Feature: Edición de nota\n\n  Scenario: Editar todos los campos y actualizar fecha de modificación\n    Given que abro el detalle de una nota existente\n    When modifico título, contenido, enlaces o etiquetas y guardo\n    Then los cambios se reflejan en el detalle\n    And la fecha de última actualización se refresca automáticamente\n\n  Scenario: Respuesta de guardado en menos de 2 segundos\n    Given que edito una nota y guardo\n    When la operación completa\n    Then el guardado responde en menos de 2 segundos en condiciones normales",Frontend
Story,[US-016] Eliminar nota permanentemente,"Como usuario final, quiero eliminar una nota permanentemente, para depurar contenido obsoleto.",EPIC-005,,MVP,High,2,invest;mvp,Feature: Eliminación de nota\n\n  Scenario: Eliminar con confirmación previa\n    Given que estoy en el detalle de una nota\n    When pulso eliminar y confirmo la acción en el diálogo\n    Then la nota desaparece del listado\n    And no puedo recuperar la nota eliminada\n\n  Scenario: Cancelar eliminación mantiene la nota\n    Given que pulso eliminar en una nota\n    When cancelo en el diálogo de confirmación\n    Then la nota permanece sin cambios,Frontend
Story,[US-017] Enlazar nota con otra (backlink),"Como usuario final, quiero enlazar una nota con otra (backlink), para navegar relaciones entre ideas.",EPIC-005,,V2+,Low,8,invest;v2plus,"Feature: Backlinks entre notas\n\n  Scenario: Crear referencia a otra nota\n    Given que estoy editando la nota ""Ideas de proyecto""\n    When añado un enlace a la nota ""Investigación de mercado""\n    And guardo\n    Then en ""Ideas de proyecto"" veo el enlace clicable hacia ""Investigación de mercado""\n\n  Scenario: Ver notas que enlazan a la actual\n    Given que ""Plan Q3"" enlaza a ""Objetivos anuales""\n    When abro el detalle de ""Objetivos anuales""\n    Then veo una sección ""Notas que enlazan aquí"" con ""Plan Q3""",Frontend
Task,[TASK-001] [BE] Endpoint GET /notas con paginación básica,"Implementar API que devuelve todas las notas con id, título, created_at y updated_at ordenadas por fecha descendente",,US-001,MVP,Medium,2,backend;mvp,,Backend
Task,[TASK-002] [FE] Componente NoteList con título y fecha,Crear vista de listado que consume GET /notas y renderiza cada nota con título y fecha formateada,,US-001,MVP,Medium,2,frontend;mvp,,Frontend
Task,[TASK-003] [DB] Índice en created_at para ordenación del listado,Añadir índice en columna created_at de la tabla notas para respuesta < 2 s,,US-001,MVP,Medium,1,database;mvp,,Database
Task,[TASK-004] [QA] Tests E2E del listado con datos de prueba,Validar que el listado muestra todas las notas y es la pantalla inicial de la app,,US-001,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-005] [BE] Endpoint GET /notas/:id con enlaces y etiquetas,Devolver nota completa incluyendo arrays de URLs y nombres de etiquetas asociadas,,US-002,MVP,Medium,2,backend;mvp,,Backend
Task,[TASK-006] [FE] Vista NoteDetail y navegación desde listado,Implementar pantalla de detalle y enlace desde cada ítem del listado; botón volver al listado,,US-002,MVP,Medium,3,frontend;mvp,,Frontend
Task,[TASK-007] [DB] Consulta JOIN notas-etiquetas-enlaces para detalle,Optimizar query de detalle con relaciones many-to-many etiquetas y tabla de enlaces,,US-002,MVP,Medium,2,database;mvp,,Database
Task,[TASK-008] [QA] Tests navegación listado-detalle y nota inexistente,Verificar flujo completo y manejo de 404 con redirección al listado,,US-002,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-009] [BE] Respuesta consistente GET /notas con array vacío,Asegurar que la API devuelve `[]` con código 200 cuando no hay notas,,US-003,V1,Medium,1,backend;v1,,Backend
Task,"[TASK-010] [FE] Componente EmptyState con CTA ""Crear nota""",Diseñar e integrar estado vacío en NoteList con llamada a la acción hacia formulario de creación,,US-003,V1,Medium,2,frontend;v1,,Frontend
Task,[TASK-011] [DB] Sin cambios de esquema,Verificar que consulta vacía no genera errores ni joins innecesarios,,US-003,V1,Medium,1,database;v1,,Database
Task,[TASK-012] [QA] Test visual y funcional del empty state,"Validar mensaje, CTA visible y navegación a crear nota desde estado vacío",,US-003,V1,Medium,1,qa;v1,,QA
Task,"[TASK-013] [BE] Parámetro sort en GET /notas (fecha, título)",Aceptar query params `sort=created_at|title` y `order=asc|desc`,,US-004,V2+,Medium,2,backend;v2plus,,Backend
Task,[TASK-014] [FE] Selector de ordenación en barra del listado,Añadir dropdown con opciones fecha/título; persistir selección en estado de sesión,,US-004,V2+,Medium,2,frontend;v2plus,,Frontend
Task,[TASK-015] [DB] Índice compuesto para ordenación por título,Crear índice en columna title para ordenación eficiente,,US-004,V2+,Medium,1,database;v2plus,,Database
Task,[TASK-016] [QA] Tests de ordenación y persistencia en sesión,Verificar ambos criterios de orden y que persiste tras navegar detalle-listado,,US-004,V2+,Medium,2,qa;v2plus,,QA
Task,[TASK-017] [BE] Endpoint POST /notas con validación título y contenido,"Crear nota con validación de campos obligatorios; generar id, created_at y updated_at",,US-005,MVP,Medium,3,backend;mvp,,Backend
Task,"[TASK-018] [FE] Formulario NoteForm y botón ""Nueva nota"" en pantalla principal",Formulario con título y contenido; flujo accesible en ≤ 2 interacciones desde home,,US-005,MVP,Medium,3,frontend;mvp,,Frontend
Task,"[TASK-019] [DB] Tabla notas con campos id, title, content, timestamps",Migración inicial de tabla notas con constraints NOT NULL en title y content,,US-005,MVP,Medium,2,database;mvp,,Database
Task,"[TASK-020] [QA] Tests creación, validación y métrica 2 interacciones","E2E de creación exitosa, rechazo de campos vacíos y medición de interacciones",,US-005,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-021] [BE] Validación de URLs y persistencia de enlaces,Validar formato URL en create/update; almacenar múltiples enlaces por nota,,US-006,MVP,Medium,2,backend;mvp,,Backend
Task,[TASK-022] [FE] Campo dinámico de enlaces en NoteForm,UI para añadir/eliminar filas de URL con feedback de error inline,,US-006,MVP,Medium,2,frontend;mvp,,Frontend
Task,"[TASK-023] [DB] Tabla enlaces (nota_id, url) con FK a notas",Esquema de enlaces one-to-many con nota; cascade delete,,US-006,MVP,Medium,2,database;mvp,,Database
Task,"[TASK-024] [QA] Tests URLs válidas, inválidas y múltiples enlaces","Casos de prueba para 0, 1 y N enlaces y rechazo de formato inválido",,US-006,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-025] [BE] Respuestas 400 con detalle por campo,"Estructurar errores de validación como `{ field, message }[]` en respuestas API",,US-007,V1,Medium,2,backend;v1,,Backend
Task,[TASK-026] [FE] Validación inline y preservación de estado del formulario,Validar en cliente antes de submit; mantener valores en estado tras error,,US-007,V1,Medium,2,frontend;v1,,Frontend
Task,[TASK-027] [DB] Sin cambios de esquema,Confirmar constraints existentes alineados con mensajes de error,,US-007,V1,Medium,1,database;v1,,Database
Task,[TASK-028] [QA] Tests validación por campo y no pérdida de datos,Verificar mensajes específicos y que el formulario conserva entrada tras error,,US-007,V1,Medium,1,qa;v1,,QA
Task,[TASK-029] [BE] API etiquetas: creación automática y asociación M:N,POST/PUT notas acepta array de etiquetas; crear etiqueta si no existe; unicidad por nombre,,US-008,MVP,Medium,3,backend;mvp,,Backend
Task,[TASK-030] [FE] Componente TagInput con chips en formulario,Input de etiquetas con autocompletado de existentes y creación al escribir,,US-008,MVP,Medium,3,frontend;mvp,,Frontend
Task,[TASK-031] [DB] Tablas etiquetas y nota_etiqueta con UNIQUE en nombre,Esquema many-to-many con constraint UNIQUE(name) en etiquetas,,US-008,MVP,Medium,2,database;mvp,,Database
Task,"[TASK-032] [QA] Tests asignación, creación automática y unicidad","Verificar M:N, auto-create y rechazo de duplicados",,US-008,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-033] [BE] GET /notas?etiqueta=nombre con filtrado,Endpoint que filtra notas por etiqueta; respuesta vacía con metadata clara,,US-009,MVP,Medium,2,backend;mvp,,Backend
Task,[TASK-034] [FE] Panel de filtro por etiqueta en navegación,Lista de etiquetas clicables en sidebar o barra; indicador de filtro activo,,US-009,MVP,Medium,2,frontend;mvp,,Frontend
Task,[TASK-035] [DB] Índice en nota_etiqueta para filtrado eficiente,"Índice en (etiqueta_id, nota_id) para queries de filtro < 2 s",,US-009,MVP,Medium,1,database;mvp,,Database
Task,"[TASK-036] [QA] Tests filtro activo, sin resultados y limpieza de filtro","Verificar filtrado correcto, mensaje vacío y volver a listado completo",,US-009,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-037] [BE] DELETE asociación nota-etiqueta,Endpoint para eliminar relación sin borrar nota ni etiqueta huérfana si hay otras asociaciones,,US-010,V1,Medium,2,backend;v1,,Backend
Task,"[TASK-038] [FE] Acción ""quitar"" en chip de etiqueta en detalle/edición",Botón X en cada etiqueta con confirmación opcional y actualización inmediata de UI,,US-010,V1,Medium,2,frontend;v1,,Frontend
Task,[TASK-039] [DB] DELETE en nota_etiqueta sin cascade a entidades,Asegurar que borrar asociación no elimina filas de notas ni etiquetas,,US-010,V1,Medium,1,database;v1,,Database
Task,[TASK-040] [QA] Tests desasociación y persistencia de etiqueta global,Verificar ambos escenarios Gherkin,,US-010,V1,Medium,1,qa;v1,,QA
Task,[TASK-041] [BE] GET /etiquetas con conteo de notas asociadas,"Endpoint que devuelve `{ name, count }[]` ordenado alfabéticamente",,US-011,V2+,Medium,2,backend;v2plus,,Backend
Task,[TASK-042] [FE] Panel TagCatalog con nombre y conteo,Vista o sidebar con listado de etiquetas y conteo; clic navega a filtro,,US-011,V2+,Medium,2,frontend;v2plus,,Frontend
Task,[TASK-043] [DB] Query agregada COUNT por etiqueta optimizada,Vista materializada o query con GROUP BY etiqueta_id optimizada,,US-011,V2+,Medium,2,database;v2plus,,Database
Task,[TASK-044] [QA] Tests conteos correctos y navegación a filtro,Datos de prueba con conteos conocidos y verificación de filtro,,US-011,V2+,Medium,2,qa;v2plus,,QA
Task,[TASK-045] [BE] Endpoint GET /buscar?q= con búsqueda en título y contenido,Implementar búsqueda LIKE/ILIKE o full-text básico en title y content,,US-012,MVP,Medium,3,backend;mvp,,Backend
Task,[TASK-046] [FE] Barra de búsqueda con resultados en tiempo real,Input de búsqueda con debounce; listado de resultados sustituyendo o filtrando vista,,US-012,MVP,Medium,3,frontend;mvp,,Frontend
Task,[TASK-047] [DB] Índices en title y content para búsqueda,Índices B-tree o full-text según motor; objetivo < 300 ms con 500 notas,,US-012,MVP,Medium,2,database;mvp,,Database
Task,"[TASK-048] [QA] Tests relevancia, cobertura título/contenido y benchmark 300 ms",Casos funcionales y prueba de rendimiento con dataset de 500 notas,,US-012,MVP,Medium,3,qa;mvp,,QA
Task,[TASK-049] [BE] Parámetro order=relevance|date en GET /buscar,Implementar scoring simple (título > contenido) y orden por updated_at,,US-013,MVP,Medium,2,backend;mvp,,Backend
Task,[TASK-050] [FE] Selector relevancia/fecha en vista de resultados,Dropdown o toggle en barra de resultados de búsqueda,,US-013,MVP,Medium,2,frontend;mvp,,Frontend
Task,[TASK-051] [DB] Índice en updated_at para ordenación por fecha,Índice para ORDER BY updated_at DESC en resultados,,US-013,MVP,Medium,1,database;mvp,,Database
Task,[TASK-052] [QA] Tests orden relevancia y fecha en búsqueda,Dataset con coincidencias conocidas; verificar orden esperado,,US-013,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-053] [BE] Respuesta 200 con array vacío y metadata searchTerm,Incluir término buscado en respuesta para mensaje contextual en frontend,,US-014,V1,Medium,1,backend;v1,,Backend
Task,[TASK-054] [FE] Componente SearchEmptyState con término dinámico,"Mostrar ""Sin resultados para [término]""; mantener input activo",,US-014,V1,Medium,1,frontend;v1,,Frontend
Task,[TASK-055] [DB] Sin cambios de esquema,N/A — consulta vacía ya soportada,,US-014,V1,Medium,1,database;v1,,Database
Task,[TASK-056] [QA] Test mensaje sin resultados y campo editable,Verificar texto exacto y que el usuario puede reintentar búsqueda,,US-014,V1,Medium,1,qa;v1,,QA
Task,[TASK-057] [BE] Endpoint PUT /notas/:id con actualización de updated_at,Actualizar todos los campos; refrescar updated_at automáticamente,,US-015,MVP,Medium,2,backend;mvp,,Backend
Task,[TASK-058] [FE] Modo edición en NoteDetail reutilizando NoteForm,Botón editar; formulario pre-rellenado; guardar y volver a vista lectura,,US-015,MVP,Medium,3,frontend;mvp,,Frontend
Task,[TASK-059] [DB] Trigger o lógica de updated_at en UPDATE,Asegurar updated_at se actualiza en cada modificación,,US-015,MVP,Medium,1,database;mvp,,Database
Task,"[TASK-060] [QA] Tests edición campos, timestamp y tiempo respuesta",Verificar todos los campos editables y SLA < 2 s,,US-015,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-061] [BE] Endpoint DELETE /notas/:id irreversible,Eliminar nota y cascada a enlaces y asociaciones etiqueta; sin soft-delete,,US-016,MVP,Medium,2,backend;mvp,,Backend
Task,[TASK-062] [FE] Botón eliminar con modal de confirmación,"Acción en detalle; diálogo ""¿Eliminar permanentemente?""; redirección al listado",,US-016,MVP,Medium,2,frontend;mvp,,Frontend
Task,[TASK-063] [DB] ON DELETE CASCADE en enlaces y nota_etiqueta,Configurar FK con cascade para limpieza de relaciones al borrar nota,,US-016,MVP,Medium,1,database;mvp,,Database
Task,"[TASK-064] [QA] Tests eliminación, confirmación y cancelación",Verificar borrado irreversible y flujo de cancelación,,US-016,MVP,Medium,2,qa;mvp,,QA
Task,[TASK-065] [BE] API backlinks: crear referencia y listar entrantes,Modelo nota_nota; endpoints para crear enlace y GET backlinks de una nota,,US-017,V2+,Medium,5,backend;v2plus,,Backend
Task,[TASK-066] [FE] UI de enlace a nota y panel de backlinks entrantes,Selector de nota destino en edición; sección backlinks en detalle,,US-017,V2+,Medium,5,frontend;v2plus,,Frontend
Task,"[TASK-067] [DB] Tabla nota_backlink (origen_id, destino_id)",Esquema bidireccional con índices en origen y destino,,US-017,V2+,Medium,3,database;v2plus,,Database
Task,[TASK-068] [QA] Tests creación enlace y visualización backlinks,E2E de enlace saliente y panel de entrantes,,US-017,V2+,Medium,3,qa;v2plus,,QA
